engine,idx,frase,chars,wav_path,mp3_path,latencia_s,duracion_audio_s,rtf,cpu_promedio_%,ram_max_MB,samplerate,channels,voice,speed_wpm,pitch,amplitude,error
espeak-ng,1,"Hola, ¿cómo estás? ¿Listo para arrancar el día?",47,salida_espeak\frase_1.wav,salida_espeak\frase_1.mp3,0.1597,3.1936,0.05,67.55,8.1,22050,1,es,170,50,150,
espeak-ng,2,El presente informe se encuentra sujeto a revisión.,51,salida_espeak\frase_2.wav,salida_espeak\frase_2.mp3,0.1577,3.2518,0.0485,83.8,8.4,22050,1,es,170,50,150,
espeak-ng,3,"Che, ayer vi una peli increíble, después te cuento los detalles.",64,salida_espeak\frase_3.wav,salida_espeak\frase_3.mp3,0.1576,4.2546,0.037,71.05,8.38,22050,1,es,170,50,150,
espeak-ng,4,La fotosíntesis es el proceso mediante el cual las plantas convierten la energía solar en energía química.,106,salida_espeak\frase_4.wav,salida_espeak\frase_4.mp3,0.158,6.3893,0.0247,100.8,8.4,22050,1,es,170,50,150,
espeak-ng,5,"De acuerdo con la normativa vigente, se deberá presentar la documentación antes del viernes.",92,salida_espeak\frase_5.wav,salida_espeak\frase_5.mp3,0.2048,5.5212,0.0371,46.0,8.12,22050,1,es,170,50,150,
espeak-ng,6,"Era una tarde lluviosa en la ciudad, las luces de los autos se reflejaban en el asfalto mojado, y la gente caminaba rápido buscando refugio.",140,salida_espeak\frase_6.wav,salida_espeak\frase_6.mp3,0.1592,8.4608,0.0188,71.15,8.09,22050,1,es,170,50,150,
espeak-ng,7,"El modelo de aprendizaje profundo se entrenó con más de un millón de parámetros, optimizando su capacidad de generalización en tareas de reconocimiento de voz.",159,salida_espeak\frase_7.wav,salida_espeak\frase_7.mp3,0.1589,9.4435,0.0168,75.05,8.11,22050,1,es,170,50,150,
espeak-ng,8,"Bueno, entonces nos vemos mañana a la misma hora, ¿te parece?",61,salida_espeak\frase_8.wav,salida_espeak\frase_8.mp3,0.5632,3.7324,0.1509,13.3,8.39,22050,1,es,170,50,150,
espeak-ng,9,El incumplimiento de las disposiciones establecidas en la Ley 24.557 podrá derivar en sanciones económicas proporcionales a la infracción.,138,salida_espeak\frase_9.wav,salida_espeak\frase_9.mp3,0.1599,10.2971,0.0155,83.1,8.11,22050,1,es,170,50,150,
espeak-ng,10,"¿Sabías que el agua hierve a 100 grados Celsius a nivel del mar, pero a menor presión atmosférica la temperatura de ebullición disminuye?",137,salida_espeak\frase_10.wav,salida_espeak\frase_10.mp3,0.1583,7.9429,0.0199,83.1,8.12,22050,1,es,170,50,150,
